0,1,2,3,4,5
2,2,32,32,31,21
1,28,31,31,28,1
0,27,31,31,31,0
0,32,32,32,0,24
22,27,4,32,27,8
39,1,39,1,39,1
29,29,29,29,2,2
29,1,30,1,30,29
1,1,30,30,29,29
40,1,24,30,1,24
14,26,2,26,28,24
30,35,0,25,0,30
30,30,29,29,1,1
1,1,29,29,30,30
39,39,39,3,0,0
30,30,0,0,30,30
0,0,35,30,30,25
30,30,0,30,0,30
40,40,40,0,0,0
0,0,0,41,41,38
10,30,10,30,10,30
39,25,1,15,39,1
25,25,25,25,15,5
0,0,33,29,29,29
25,25,25,25,10,10
20,30,35,20,7,8
25,25,25,25,10,10
2,2,2,51,61,2
0,30,30,0,30,30
25,10,25,25,25,10
40,15,0,0,25,40
0,30,30,0,30,30
10,10,10,30,30,30
24,24,24,0,24,24
30,0,30,6,30,24
30,30,30,30,0,0
30,30,30,30,0,0
30,30,30,30,0,0
30,30,30,30,0,0
30,0,30,30,0,30
24,24,24,24,23,1
21,21,21,21,21,15
10,30,20,10,40,10
20,25,40,15,10,10
0,0,30,30,30,30
0,0,30,30,30,30
0,0,30,30,30,30
0,0,30,30,30,30
0,0,30,30,30,30
0,0,30,30,30,30
0,24,24,24,24,24
0,24,24,24,24,24
15,15,10,30,30,20
1,1,1,56,60,1
30,10,10,20,30,20
21,22,23,17,18,19
30,20,20,0,30,20
21,19,22,18,23,17
21,19,21,19,21,19
10,20,30,20,10,20
20,19,21,19,21,20
21,20,20,20,20,19
20,20,20,19,20,21
20,20,20,20,20,20
20,20,20,20,20,20
20,20,20,20,20,20
20,20,20,20,20,20
20,20,20,20,20,20
20,20,20,20,20,20
20,20,20,20,20,20
19,19,19,21,1,1
120,0,0,0,0,0
20,0,0,0,0,0
